제조사,구분,배터리,연비,주행거리,충전시간(분),Fast Charge Time (10% ~80%)
KIA,2018 니로 EV,64,5.3,385,,
KIA,2022 니로 EV,64,5.3,385,,
KIA,2022 EV6 (스탠다드),58,5.6,370,,
KIA,2022 EV6 (롱 레인지),77.4,4.9,434,,
KIA,2020 봉고3 EV,58.8,3.1,211,,
KIA,2018 쏘울 EV,30,5.2,180,,
KIA,2019 쏘울 부스터 EV,64,5.4,386,,
KIA,2021 쏘울 부스터 EV (120Ah),39.2,5.6,250,,
KIA,2021 쏘울 부스터 EV (180Ah),64,5.4,386,,
HYUNDAI,2018 코나 일렉트릭,64,5.6,406,,
HYUNDAI,2020 코나 일렉트릭,64,5.6,406,,
HYUNDAI,2021 코나 일렉트릭,64,정보없음,482,,
HYUNDAI,2016 아이오닉 일렉트릭,28,6.3,191,,
HYUNDAI,2017 아이오닉 일렉트릭,28,6.3,191,,
HYUNDAI,2018 아이오닉 일렉트릭,28,6.3,191,,
HYUNDAI,2019 아이오닉 일렉트릭,38.3,6.3,271,,
HYUNDAI,2021 아이오닉 5 (Standard),58,5.1,336,,
HYUNDAI,2021 아이오닉 5 (Standard AWD),72.6,4.9,401,,
HYUNDAI,2021 아이오닉 5 (Long Range),58,4.8,319,,
HYUNDAI,2021 아이오닉 5 (Long Range AWD),72.6,4.5,370,,
HYUNDAI,2020 포터 2 일렉트릭,58.8,3.1,211,,
HYUNDAI,2020 밍투 일렉트릭,56.5,정보없음,520,,
HYUNDAI,2020 라페스타 EV,56.5,정보없음,490,,
GENESIS,2022 일렉트리파이드 G80,87.2,4.3,427,,
르노삼성,2014 SM3 Z.E.,22,4.4,135,,
르노삼성,2015 SM3 Z.E.,22,4.4,135,,
르노삼성,2018 SM3 Z.E.,35.9,4.5,213,,
르노삼성,2019 SM3 Z.E.,35.9,4.5,213,,
BMW,2020 iX3,80,5.1,460,,
BMW,2021 iX (xDrive40),76.6,4.4,425,,
BMW,2021 iX (xDrive50),111.5,4.3,630,,
BMW,2021 i4 (eDrive40),83.9,5,590,,
BMW,2021 i4 (M50),83.9,4.1,510,,
BMW,2017 i3,27.2,5.4,208,,
BMW,2019 i3 (94A),27.2,5.4,208,,
BMW,2019 i3 (120A),37.9,5.6,248,,
BMW,2020 i3,37.9,5.6,248,,
AUDI,2019 e-트론,150,정보없음,400,,
AUDI,2020 e-트론,95,3,307,,
AUDI,2021 e-트론 (50 Quattro),71,2.9,210,,
AUDI,2021 e-트론 (55 Quattro),95,3,307,,
쉐보레 ,2016 볼트 EV,60,5.5,383,,
쉐보레 ,2017 볼트 EV,60,5.5,383,,
쉐보레 ,2018 볼트 EV,60,5.5,383,,
쉐보레 ,2019 볼트 EV,60,5.5,383,,
쉐보레 ,2020 볼트 EV,66,5.4,414,,
쉐보레 ,2021 볼트 EV,65,정보없음,416,,
쉐보레 ,2021 볼트 EUV,65,정보없음,402,,
TESLA,2021 모델 Y (Dual Motor AWD),75,4.8,448,,
TESLA,2020 모델 Y (Dual Motor AWD),75,정보없음,480,,
TESLA,2020 모델 Y (Single Motor AWD),75,정보없음,505,,
TESLA,2021 모델 3 (Single Motor),50,6.1,383,,
TESLA,2021 모델 3 (Dual Motor AWD),75,5.1,480,,
TESLA,2019 모델 3 (Single Motor),50,5.8,325,,
TESLA,2019 모델 3 (Dual Motor AWD),75,4.7,415,,
TESLA,2018 모델 3 (Single Motor),50,정보없음,386,,
TESLA,2018 모델 3 (Dual Motor AWD),75,정보없음,500,,
TESLA,2019 모델 X (Dual Motor AWD),100,3.7,421,,
TESLA,2021 모델 X (Dual Motor AWD),100,정보없음,580,,
TESLA,2021 모델 X (Tri Motor AWD),113,정보없음,547,,
TESLA,2018 모델 X (75D),75,정보없음,정보없음,,
TESLA,2018 모델 X (100D),100,4.8,386,,
TESLA,2017 모델 X (75D),75,정보없음,381,,
TESLA,2017 모델 X (100D),100,정보없음,474,,
TESLA,2017 모델 X (P100D),100,정보없음,353,,
TESLA,2016 모델 X (75D),75,정보없음,403,,
TESLA,2016 모델 X (90D),90,정보없음,414,,
TESLA,2016 모델 X (P90D),90,정보없음,403,,
TESLA,2021 모델 S (Dual Motor AWD),100,정보없음,663,,
TESLA,2021 모델 S (Tri Motor AWD),113,정보없음,628,,
TESLA,2019 모델 S (Dual Motor AWD),100,4.2,480,,
TESLA,2017 모델 S (90D),87.5,정보없음,470,,
TESLA,2016 모델 S (P100D),100,정보없음,정보없음,,
TESLA,2016 모델 S (70D),70,정보없음,380,,
TESLA,2016 모델 S (90D),90,정보없음,470,,
TESLA,2016 모델 S (P90D),90,정보없음,430,,
TESLA,2013 모델 S (60D),60,4.5,정보없음,,
TESLA,2021 사이버트럭 (Single Motor),100,정보없음,402,645,22
TESLA,2021 사이버트럭 (Dual Motor AWD),120,정보없음,482,780,27
TESLA,2021 사이버트럭 (Tri Motor AWD),200,정보없음,750,1290,44
